1.157661 0.825 1
1.339378 0.55 0.95
1.938295 0.65 0.975
1.536639 0.75 1
1.120416 0.7 1
0.8794788 0.625 0.95
0.6518898 0.775 0.95
1.385719 0.675 0.975
1.304274 0.875 1
1.176429 0.625 0.975
0.5996378 0.45 0.925
1.214332 0.925 1
1.483597 0.925 1
1.58116 0.9 1
2.039486 0.75 0.975
0.7749765 0.6 0.95
2.027016 0.775 0.95
1.24782 0.925 1
2.825065 0.6 0.9
1.119785 0.825 0.975
2.905636 0.775 0.9
0.9729065 0.8 1
1.007736 0.8 0.975
1.31014 0.85 1
1.61153 0.7 0.95
2.477169 0.325 0.975
0.9714849 0.8 0.95
1.103237 0.85 0.925
1.499281 1 1
2.44537 0.65 1
1.784128 0.75 0.875
0.02330076 0.6 0.925
2.048775 0.6 0.925
1.059137 0.8 0.975
2.414708 0.525 0.95
0.918452 0.825 1
1.031785 0.55 0.925
1.259446 0.875 1
2.139783 0.525 0.975
1.130262 1 1
0.2237367 0.725 0.975
1.747488 0.775 1
1.964116 0.75 1
1.148803 0.85 0.95
1.682901 0.775 1
0.6681035 0.575 0.875
2.370298 0.65 0.9
1.446813 0.9 1
1.498032 0.825 0.975
2.348846 0.575 0.975
1.492576 0.65 0.925
0.7974355 0.525 1
1.797222 0.875 1
1.770179 0.825 1
1.37263 0.875 1
0.9816068 0.75 0.875
1.159394 0.725 0.925
1.524095 0.65 0.975
2.272321 0.725 0.95
0.8799657 0.925 1
0.9115472 0.825 1
1.638069 0.725 1
1.14117 0.55 0.9
1.470583 0.925 1
1.553842 0.95 1
1.792905 0.7 0.975
3.205559 0.25 0.575
1.574882 0.925 1
1.428686 0.725 0.95
1.624683 0.975 1
2.903848 0.7 0.875
2.243593 0.65 0.975
1.677254 0.675 0.95
1.10505 0.925 0.975
-0.245006 0.325 0.775
2.137276 0.6 0.95
1.319101 0.875 0.975
1.855887 0.775 1
2.081629 0.625 0.925
0.4042893 0.825 1
0.4499386 0.625 0.925
1.043298 0.9 1
1.398528 0.65 0.925
1.194143 0.775 0.975
2.609486 0.7 0.925
2.105369 0.7 0.95
1.485203 0.65 1
1.632435 0.75 1
1.185904 0.75 0.95
0.7473144 0.7 0.9
1.333727 0.75 1
0.8953814 0.725 0.95
1.119644 0.675 0.95
1.717346 0.675 0.95
1.603932 0.9 1
1.568678 0.825 0.975
0.4409948 0.675 0.975
1.489695 0.85 1
0.220855 0.25 0.85
2.234253 0.65 0.95
1.837028 0.8 0.975
1.979215 0.725 0.95
1.148854 0.85 0.975
2.783897 0.375 0.65
